n,train_error,test_error
1,11.6322246,11.6322293
2,11.6321452,11.6321611
3,11.6320059,11.6320119
4,11.6319261,11.6319345
5,11.6319045,11.6319145
6,11.631898,11.6319167
7,11.6318934,11.6319145
8,11.6318893,11.631912
9,11.6318857,11.631907
10,11.6318824,11.6319028
11,11.6318803,11.6319029
12,11.6318785,11.6319029
13,11.6318768,11.6319039
14,11.6318753,11.6319032
15,11.6318738,11.631904
16,11.6318724,11.6319056
17,11.6318711,11.6319059
18,11.6318699,11.6319047
19,11.6318688,11.631907
20,11.6318677,11.6319071
21,11.6318667,11.6319072
22,11.6318657,11.6319079
23,11.6318648,11.6319091
24,11.6318639,11.6319097
25,11.6318631,11.6319092
26,11.6318623,11.6319105
27,11.6318615,11.6319108
28,11.6318608,11.6319103
29,11.6318601,11.6319106
30,11.6318595,11.6319108
31,11.6318588,11.63191
32,11.6318583,11.6319097
33,11.6318577,11.6319102
34,11.6318572,11.6319113
35,11.6318567,11.6319109
36,11.6318562,11.6319115
37,11.6318558,11.6319122
38,11.6318554,11.6319125
39,11.6318551,11.6319133
40,11.6318548,11.6319135
41,11.6318546,11.6319132
42,11.6318545,11.6319138
43,11.6318544,11.6319151
44,11.6318543,11.6319171
45,11.6318544,11.6319185
46,11.6318548,11.6319206
